counter,results,id_stone
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,3,1
31,3,1
32,3,1
33,6,1
34,3,1
35,6,1
36,6,1
37,3,1
38,3,1
39,3,1
40,3,1
41,3,1
42,3,1
43,1,1
44,6,1
45,5,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,3,1
67,3,1
68,3,1
69,3,1
70,3,1
71,3,1
72,3,1
73,3,1
74,3,1
75,3,1
76,3,1
77,3,1
78,3,1
79,3,1
80,3,1
81,3,1
82,3,1
83,3,1
84,3,1
85,3,1
86,3,1
87,3,1
88,3,1
89,3,1
90,3,1
91,3,1
92,3,1
93,3,1
94,3,1
95,3,1
96,3,1
97,3,1
98,3,1
99,3,1
100,3,1
101,3,1
102,3,1
103,3,1
104,3,1
105,3,1
106,3,1
107,3,1
108,3,1
109,3,1
110,3,1
111,3,1
112,3,1
113,3,1
114,3,1
115,3,1
116,3,1
117,3,1
118,3,1
119,3,1
120,3,1
121,3,1
122,6,1
123,6,1
124,6,1
125,6,1
126,6,1
127,6,1
128,6,1
129,6,1
130,6,1
131,6,1
132,6,1
133,6,1
134,6,1
135,6,1
136,6,1
137,6,1
138,6,1
139,6,1
140,6,1
141,6,1
142,6,1
143,6,1
144,6,1
145,6,1
146,4,1
147,6,1
148,6,1
149,4,1
150,6,1
151,6,1
152,6,1
153,4,1
154,6,1
155,6,1
156,4,1
157,6,1
158,6,1
159,4,1
160,6,1
161,6,1
162,4,1
163,4,1
164,4,1
165,6,1
166,6,1
167,6,1
168,6,1
169,6,1
170,6,1
171,6,1
172,6,1
173,6,1
174,6,1
175,6,1
176,6,1
177,6,1
178,4,1
179,6,1
180,6,1
181,4,1
182,4,1
183,4,1
184,6,1
185,6,1
186,6,1
187,6,1
188,6,1
189,6,1
190,4,1
191,6,1
192,6,1
193,6,1
194,6,1
195,6,1
196,6,1
197,6,1
198,6,1
199,6,1
200,6,1
201,6,1
202,3,1
203,6,1
204,6,1
205,6,1
206,6,1
207,6,1
208,6,1
209,6,1
210,6,1
211,6,1
212,6,1
213,6,1
214,6,1
215,6,1
216,6,1
217,6,1
218,6,1
219,6,1
220,6,1
221,6,1
222,6,1
223,6,1
224,6,1
225,6,1
226,6,1
227,6,1
228,6,1
229,6,1
230,6,1
231,5,1
232,6,1
233,6,1
234,6,1
235,4,1
236,4,1
237,6,1
238,6,1
239,4,1
240,6,1
241,6,1
242,4,1
243,6,1
244,6,1
245,6,1
246,6,1
247,4,1
248,6,1
249,6,1
250,6,1
251,6,1
252,6,1
253,6,1
254,6,1
255,6,1
256,6,1
257,6,1
258,6,1
259,6,1
260,6,1
261,6,1
262,6,1
263,6,1
264,6,1
265,6,1
266,6,1
267,6,1
268,6,1
269,6,1
270,6,1
271,6,1
272,6,1
273,6,1
274,6,1
275,6,1
276,6,1
277,6,1
278,6,1
279,4,1
280,6,1
281,6,1
282,4,1
283,6,1
284,6,1
285,6,1
286,6,1
287,4,1
288,4,1
289,6,1
290,6,1
291,4,1
292,6,1
293,6,1
294,1,1
295,1,1
296,1,1
297,1,1
298,4,1
299,2,1
300,2,1
301,2,1
302,6,1
303,5,1
304,5,1
305,2,1
306,2,1
307,2,1
308,2,1
309,2,1
310,2,1
311,3,1
312,2,1
313,2,1
314,2,1
315,2,1
316,3,1
317,2,1
318,2,1
319,2,1
320,2,1
321,3,1
322,4,1
323,3,1
324,3,1
325,3,1
326,3,1
327,4,1
328,3,1
329,3,1
330,5,1
331,4,1
332,4,1
333,3,1
334,3,1
335,4,1
336,3,1
337,3,1
338,3,1
339,4,1
340,3,1
341,3,1
342,3,1
343,3,1
344,3,1
345,3,1
346,3,1
347,3,1
348,3,1
349,3,1
350,5,1
351,2,1
352,2,1
353,4,1
354,3,1
355,3,1
356,2,1
357,2,1
358,5,1
359,2,1
360,5,1
361,5,1
362,5,1
363,5,1
364,4,1
365,2,1
366,2,1
367,2,1
368,3,1
369,3,1
370,3,1
371,3,1
372,3,1
373,3,1
374,3,1
375,4,1
376,4,1
377,3,1
378,4,1
379,4,1
380,4,1
381,2,1
382,4,1
383,4,1
384,4,1
385,4,1
386,2,2
387,2,2
388,2,2
389,2,2
390,2,2
391,2,2
392,2,2
393,2,2
394,2,2
395,2,2
396,2,2
397,2,2
398,2,2
399,2,2
400,2,2
401,2,2
402,2,2
403,2,2
404,2,2
405,2,2
406,2,2
407,2,2
408,2,2
409,2,2
410,2,2
411,2,2
412,2,2
413,2,2
414,2,2
415,2,2
416,2,2
417,6,2
418,2,2
419,2,2
420,2,2
421,6,2
422,2,2
423,6,2
424,6,2
425,4,2
426,2,2
427,6,2
428,4,2
429,2,2
430,2,2
431,6,2
432,2,2
433,2,2
434,2,2
435,2,2
436,2,2
437,2,2
438,2,2
439,2,2
440,2,2
441,6,2
442,2,2
443,2,2
444,2,2
445,2,2
446,1,2
447,4,2
448,2,2
449,2,2
450,2,2
451,2,2
452,2,2
453,2,2
454,6,2
455,2,2
456,2,2
457,2,2
458,2,2
459,2,2
460,2,2
461,2,2
462,2,2
463,2,2
464,2,2
465,2,2
466,2,2
467,2,2
468,2,2
469,2,2
470,2,2
471,2,2
472,2,2
473,2,2
474,2,2
475,2,2
476,2,2
477,2,2
478,2,2
479,6,2
480,6,2
481,6,2
482,2,2
483,6,2
484,4,2
485,6,2
486,6,2
487,4,2
488,4,2
489,4,2
490,6,2
491,6,2
492,6,2
493,6,2
494,4,2
495,6,2
496,6,2
497,6,2
498,6,2
499,1,2
500,4,2
501,6,2
502,4,2
503,2,2
504,3,2
505,4,2
506,3,2
507,3,2
508,2,2
509,4,2
510,4,2
511,3,2
512,2,2
513,2,2
514,2,2
515,2,2
516,4,2
517,2,2
518,6,2
519,6,2
520,6,2
521,6,2
522,6,2
523,1,2
524,2,2
525,2,2
526,6,2
527,6,2
528,6,2
529,2,2
530,6,2
531,2,2
532,2,2
533,2,2
534,2,2
535,2,2
536,2,2
537,2,2
538,2,2
539,2,2
540,2,2
541,2,2
542,2,2
543,2,2
544,2,2
545,2,2
546,2,2
547,2,2
548,2,2
549,2,2
550,2,2
551,4,2
552,4,2
553,2,2
554,2,2
555,3,2
556,2,2
557,3,2
558,6,2
559,3,2
560,2,2
561,2,2
562,2,2
563,2,2
564,4,2
565,4,2
566,4,2
567,2,2
568,3,2
569,3,2
570,2,2
571,2,2
572,2,2
573,6,2
574,3,2
575,2,2
576,3,2
577,2,2
578,2,2
579,2,2
580,2,2
581,3,2
582,2,2
583,2,2
584,2,2
585,2,2
586,2,2
587,2,2
588,2,2
589,2,2
590,2,2
591,2,2
592,2,2
593,2,2
594,2,2
595,2,2
596,2,2
597,2,2
598,2,2
599,2,2
600,2,2
601,2,2
602,3,2
603,6,2
604,2,2
605,2,2
606,2,2
607,4,2
608,2,2
609,2,2
610,2,2
611,2,2
612,2,2
613,2,2
614,2,2
615,2,2
616,2,2
617,2,2
618,4,2
619,2,2
620,2,2
621,2,2
622,2,2
623,3,2
624,3,2
625,2,2
626,2,2
627,2,2
628,4,2
629,6,2
630,2,2
631,2,2
632,2,2
633,2,2
634,2,2
635,2,2
636,3,2
637,4,2
638,3,2
639,2,2
640,2,2
641,3,2
642,3,2
643,2,2
644,2,2
645,2,2
646,2,2
647,2,2
648,2,2
649,2,2
650,2,2
651,2,2
652,3,2
653,3,2
654,4,2
655,4,2
656,4,2
657,2,2
658,4,2
659,1,2
660,1,2
661,1,2
662,5,2
663,5,2
664,5,2
665,3,2
666,4,2
667,2,2
668,2,2
669,2,2
670,6,2
671,2,2
672,4,2
673,2,2
674,2,2
675,2,2
676,2,2
677,2,2
678,2,2
679,2,2
680,2,2
681,6,2
682,2,2
683,6,2
684,2,2
685,2,2
686,2,2
687,2,2
688,4,2
689,4,2
690,4,2
691,4,2
692,4,2
693,3,2
694,6,2
695,6,2
696,2,2
697,4,2
698,4,2
699,4,2
700,2,2
701,2,2
702,2,2
703,2,2
704,2,2
705,2,2
706,2,2
707,2,2
708,2,2
709,2,2
710,2,2
711,3,2
712,4,2
713,2,2
714,2,2
715,2,2
716,2,2
717,2,2
718,2,2
719,1,2
720,1,2
721,1,2
722,1,2
723,1,2
724,1,2
725,1,2
726,1,2
727,6,2
728,3,2
729,6,2
730,2,2
731,2,2
732,6,2
733,3,2
734,6,2
735,2,2
736,6,2
737,6,2
738,6,2
739,6,2
740,6,2
741,6,2
742,6,2
743,1,2
744,1,2
745,1,2
746,1,2
747,1,2
748,1,2
749,1,2
750,1,2
751,6,2
752,2,2
753,2,2
754,6,2
755,2,2
756,4,2
757,3,2
758,2,2
759,2,2
760,1,2
761,1,2
762,1,2
763,1,2
764,1,2
765,1,2
766,1,2
767,1,2
768,1,2
769,1,2
770,1,2
771,1,2
772,1,2
773,1,2
774,1,2
775,2,2
776,2,2
777,2,2
778,2,2
779,2,2
780,2,2
781,2,2
782,2,2
783,2,2
784,4,2
785,2,2
786,2,2
787,2,2
788,4,2
789,4,2
790,2,2
791,2,2
792,2,2
793,2,2
794,2,2
795,2,2
796,2,2
797,2,2
798,3,2
799,4,2
800,6,2
801,1,2
802,1,2
803,6,2
804,6,2
805,5,2
806,6,2
807,6,2
808,6,2
809,6,2
810,3,2
811,6,2
812,6,2
813,4,2
814,3,2
815,5,2
816,3,2
817,6,2
818,4,2
819,1,2
820,3,2
821,3,2
822,1,2
823,1,2
824,1,2
825,1,2
826,1,2
827,1,2
828,1,2
829,1,2
830,1,2
831,1,2
832,1,2
833,1,2
834,1,2
835,1,2
836,1,2
837,1,2
838,1,2
839,1,2
840,1,2
841,1,2
842,1,2
843,1,2
844,1,2
845,1,2
846,1,2
847,1,2
848,1,2
849,1,2
850,1,2
851,1,2
852,1,2
853,1,2
854,1,2
855,1,2
856,1,2
857,1,2
858,1,2
859,1,2
860,1,2
861,1,2
862,1,2
863,1,2
864,1,2
865,1,2
866,1,2
867,1,2
868,1,2
869,4,2
870,2,2
871,2,2
872,3,2
873,2,2
874,2,2
875,4,2
876,2,2
877,2,2
878,2,2
879,2,2
880,2,2
881,2,2
882,2,2
883,2,2
884,2,2
885,2,2
886,2,2
887,2,2
888,2,2
889,2,2
890,2,2
891,2,2
892,2,2
893,2,2
894,2,2
895,2,2
896,4,2
897,2,2
898,2,2
899,2,2
900,2,2
901,4,2
902,2,2
903,2,2
904,2,2
905,2,2
906,2,2
907,2,2
908,2,2
909,2,2
910,2,2
911,2,2
912,2,2
913,2,2
914,2,2
915,2,2
916,2,2
917,2,2
918,2,2
919,2,2
920,2,2
921,2,2
922,2,2
923,2,2
924,2,2
925,4,2
926,2,2
927,2,2
928,2,2
929,4,2
930,4,2
931,2,2
932,2,2
933,2,2
934,2,2
935,2,2
936,2,2
937,2,2
938,4,2
939,2,2
940,4,2
941,2,2
942,2,2
943,2,2
944,2,2
945,2,2
946,2,2
947,2,2
948,2,2
949,4,2
950,2,2
951,2,2
952,2,2
953,4,2
954,2,2
955,2,2
956,2,2
957,2,2
958,2,2
959,2,2
960,4,2
961,2,2
962,4,2
963,2,2
964,4,2
965,2,2
966,2,2
967,2,2
968,4,2
969,2,2
970,2,2
971,2,2
972,2,2
973,2,2
974,4,2
975,4,2
976,2,2
977,4,2
978,2,2
979,2,2
980,4,2
981,2,2
982,2,2
983,2,2
984,2,2
985,2,2
986,2,2
987,2,2
988,2,2
989,2,2
990,6,2
991,4,2
992,2,2
993,4,2
994,2,2
995,4,2
996,2,2
997,2,2
998,2,2
999,2,2
1000,2,2
1001,4,2
1002,2,2
1003,2,2
1004,2,2
1005,4,2
1006,2,2
1007,2,2
1008,2,2
1009,2,2
1010,4,2
1011,3,2
1012,2,2
1013,2,2
1014,2,2
1015,2,2
1016,2,2
1017,2,2
1018,4,2
1019,2,2
1020,2,2
1021,4,2
1022,3,2
1023,3,2
1024,2,2
1025,4,2
1026,2,2
1027,2,2
1028,3,2
1029,2,2
1030,4,2
1031,4,2
1032,2,2
1033,4,2
1034,3,2
1035,3,2
1036,2,2
1037,2,2
1038,2,2
1039,2,2
1040,2,2
1041,2,2
1042,2,2
1043,2,2
1044,2,2
1045,2,2
1046,2,2
1047,2,2
1048,2,2
1049,2,2
1050,2,2
1051,2,2
1052,2,2
1053,2,2
1054,2,2
1055,2,2
1056,2,2
1057,2,2
1058,2,2
1059,2,2
1060,2,2
1061,2,2
1062,2,2
1063,2,2
1064,4,2
1065,2,2
1066,2,2
1067,2,2
1068,2,2
1069,2,2
1070,2,2
1071,2,2
1072,4,2
1073,4,2
1074,2,2
1075,2,2
1076,2,2
1077,2,2
1078,2,2
1079,2,2
1080,2,2
1081,2,2
1082,2,2
1083,2,2
1084,2,2
1085,2,2
1086,2,2
1087,2,2
1088,2,2
1089,2,2
1090,2,2
1091,2,2
1092,2,2
1093,4,2
1094,4,2
1095,4,2
1096,4,2
1097,3,2
1098,2,2
1099,2,2
1100,2,2
1101,2,2
1102,2,2
1103,2,2
1104,2,2
1105,2,2
1106,2,2
1107,2,2
1108,2,2
1109,2,2
1110,2,2
1111,4,2
1112,2,2
1113,2,2
1114,2,2
1115,4,2
1116,2,2
1117,2,2
1118,2,2
1119,2,2
1120,2,2
1121,2,2
1122,2,2
1123,4,2
1124,2,2
1125,2,2
1126,2,2
1127,2,2
1128,2,2
1129,4,2
1130,2,2
1131,2,2
1132,2,2
1133,2,2
1134,4,2
1135,2,2
1136,2,2
1137,2,2
1138,4,2
1139,2,2
1140,2,2
1141,2,2
1142,4,2
1143,2,2
1144,2,2
1145,2,2
1146,4,2
1147,2,2
1148,2,2
1149,2,2
1150,3,2
1151,2,2
1152,4,2
1153,2,2
1154,2,2
1155,4,2
1156,2,2
1157,4,2
1158,4,2
1159,3,2
1160,2,2
1161,4,2
1162,2,2
1163,4,2
1164,2,2
1165,2,2
1166,2,2
1167,2,2
1168,2,2
1169,2,2
1170,2,2
1171,2,2
1172,2,2
1173,2,2
1174,2,2
1175,2,2
1176,4,2
1177,2,2
1178,2,2
1179,2,2
1180,2,2
1181,2,2
1182,4,2
1183,2,2
1184,2,2
1185,4,2
1186,2,2
1187,2,2
1188,2,2
1189,2,2
1190,2,2
1191,2,2
1192,2,2
1193,2,2
1194,4,2
1195,2,2
1196,2,2
1197,2,2
1198,2,2
1199,4,2
1200,2,2
1201,2,2
1202,2,2
1203,2,2
1204,2,2
1205,4,2
1206,4,2
1207,4,2
1208,2,2
1209,2,2
1210,2,2
1211,2,2
1212,2,2
1213,2,2
1214,2,2
1215,2,2
1216,2,2
1217,4,2
1218,2,2
1219,2,2
1220,2,2
1221,2,2
1222,2,2
1223,2,2
1224,2,2
1225,2,2
1226,2,2
1227,2,2
1228,2,2
1229,2,2
1230,2,2
1231,2,2
1232,2,2
1233,2,2
1234,2,2
1235,2,2
1236,2,2
1237,2,2
1238,2,2
1239,2,2
1240,2,2
1241,2,2
1242,4,2
1243,2,2
1244,2,2
1245,2,2
1246,4,2
1247,2,2
1248,2,2
1249,2,2
1250,4,2
1251,4,2
1252,2,2
1253,2,2
1254,2,2
1255,2,2
1256,2,2
1257,2,2
1258,2,2
1259,2,2
1260,2,2
1261,2,2
1262,2,2
1263,2,2
1264,2,2
1265,2,2
1266,2,2
1267,2,2
1268,2,2
1269,3,2
1270,2,2
1271,2,2
1272,2,2
1273,2,2
1274,2,2
1275,2,2
1276,4,2
1277,2,2
1278,2,2
1279,2,2
1280,2,2
1281,2,2
1282,2,2
1283,2,2
1284,4,2
1285,2,2
1286,2,2
1287,2,2
1288,4,2
1289,2,2
1290,2,2
1291,4,2
1292,2,2
1293,2,2
1294,2,2
1295,2,2
1296,4,2
1297,2,2
1298,2,2
1299,2,2
1300,2,2
1301,4,2
1302,4,2
1303,4,2
1304,2,2
1305,4,2
1306,2,2
1307,2,2
1308,4,2
1309,2,2
1310,2,2
1311,2,2
1312,2,2
1313,2,2
1314,2,2
1315,2,2
1316,2,2
1317,2,2
1318,2,2
1319,2,2
1320,2,2
1321,2,2
1322,2,2
1323,4,2
1324,2,2
1325,2,2
1326,2,2
1327,2,2
1328,2,2
1329,2,2
1330,2,2
1331,2,2
1332,2,2
1333,2,2
1334,2,2
1335,2,2
1336,2,2
1337,2,2
1338,2,2
1339,2,2
1340,2,2
1341,2,2
1342,2,2
1343,2,2
1344,2,2
1345,2,2
1346,2,2
1347,2,2
1348,2,2
1349,2,2
1350,2,2
1351,2,2
1352,5,2
1353,2,2
1354,2,2
1355,2,2
1356,3,2
1357,2,2
1358,2,2
1359,2,2
